ruta_anon,cliente_anon_id,nombre_anon,status_registro
ROUTE_0001,CUST_0001,Store_0001,no registrado
ROUTE_0002,CUST_0002,Store_0002,no registrado
ROUTE_0003,CUST_0003,Store_0003,no registrado
ROUTE_0004,CUST_0004,Store_0004,no registrado
ROUTE_0005,CUST_0005,Store_0005,registrado
ROUTE_0006,CUST_0006,Store_0006,registrado
ROUTE_0007,CUST_0007,Store_0007,registrado
ROUTE_0008,CUST_0008,Store_0008,no registrado
ROUTE_0009,CUST_0009,Store_0009,no registrado
ROUTE_0010,CUST_0010,Store_0010,registrado
ROUTE_0011,CUST_0011,Store_0011,registrado
ROUTE_0011,CUST_0012,Store_0012,registrado
ROUTE_0009,CUST_0013,Store_0013,no registrado
ROUTE_0012,CUST_0014,Store_0014,registrado
ROUTE_0009,CUST_0015,Store_0015,registrado
ROUTE_0004,CUST_0016,Store_0016,no registrado
ROUTE_0009,CUST_0017,Store_0017,no registrado
ROUTE_0002,CUST_0018,Store_0018,registrado
ROUTE_0011,CUST_0019,Store_0019,registrado
ROUTE_0013,CUST_0020,Store_0020,registrado
ROUTE_0010,CUST_0021,Store_0021,no registrado
ROUTE_0008,CUST_0022,Store_0022,registrado
ROUTE_0012,CUST_0023,Store_0023,registrado
ROUTE_0004,CUST_0024,Store_0024,registrado
ROUTE_0013,CUST_0025,Store_0025,no registrado
ROUTE_0008,CUST_0026,Store_0026,registrado
ROUTE_0014,CUST_0027,Store_0027,registrado
ROUTE_0001,CUST_0028,Store_0028,registrado
ROUTE_0004,CUST_0029,Store_0029,no registrado
ROUTE_0015,CUST_0030,Store_0030,registrado
ROUTE_0006,CUST_0031,Store_0031,registrado
ROUTE_0002,CUST_0032,Store_0032,registrado
ROUTE_0011,CUST_0033,Store_0033,registrado
ROUTE_0015,CUST_0034,Store_0034,registrado
ROUTE_0010,CUST_0035,Store_0035,registrado
ROUTE_0008,CUST_0036,Store_0036,no registrado
ROUTE_0004,CUST_0037,Store_0037,no registrado
ROUTE_0015,CUST_0038,Store_0038,registrado
ROUTE_0016,CUST_0039,Store_0039,registrado
ROUTE_0012,CUST_0040,Store_0040,registrado
ROUTE_0009,CUST_0041,Store_0041,registrado
ROUTE_0010,CUST_0042,Store_0042,registrado
ROUTE_0017,CUST_0043,Store_0043,registrado
ROUTE_0011,CUST_0043,Store_0043,registrado
ROUTE_0018,CUST_0044,Store_0044,registrado
ROUTE_0016,CUST_0045,Store_0045,registrado
ROUTE_0007,CUST_0046,Store_0046,registrado
ROUTE_0019,CUST_0047,Store_0047,registrado
ROUTE_0017,CUST_0048,Store_0048,registrado
ROUTE_0011,CUST_0048,Store_0048,registrado
ROUTE_0014,CUST_0049,Store_0049,registrado
ROUTE_0004,CUST_0050,Store_0050,registrado
ROUTE_0003,CUST_0051,Store_0051,registrado
ROUTE_0017,CUST_0052,Store_0052,registrado
ROUTE_0014,CUST_0053,Store_0053,registrado
ROUTE_0004,CUST_0054,Store_0054,registrado
ROUTE_0020,CUST_0055,Store_0055,registrado
ROUTE_0002,CUST_0056,Store_0056,no registrado
ROUTE_0003,CUST_0057,Store_0057,registrado
ROUTE_0009,CUST_0057,Store_0057,registrado
ROUTE_0009,CUST_0058,Store_0058,registrado
ROUTE_0019,CUST_0059,Store_0059,no registrado
