distrito_sap,ruta,nip_cliente,nombre_cliente,status_registro
4210,RT020,200001743,Super Buena Vista 31,no registrado
4210,RT004,200001258,Comercial El Encanto 69,no registrado
4210,RT008,200001737,Frutería El Sol 16,no registrado
4210,RT015,200000179,Abarrotes Del Norte 98,no registrado
4210,RT002,200001649,Abarrotes Del Valle 45,registrado
4210,RT009,200001555,Minisuper El Mirador 31,registrado
4210,RT022,200000915,Tienda La Victoria 5,registrado
4210,RT007,200000912,Super Santa Cruz 48,no registrado
4210,RT018,200001346,Frutería San José 88,no registrado
4210,RT017,200001012,Minisuper La Fortuna 89,registrado
4210,RT012,200001942,Mercadito El Mirador 63,registrado
4210,RT012,200002007,Depósito Del Norte 68,registrado
4210,RT018,200000881,Comercial El Mirador 47,no registrado
4210,RT019,200000781,Bodega La Perla 81,registrado
4210,RT018,200001358,Mercadito El Roble 31,registrado
4210,RT015,200000111,Frutería La Perla 77,no registrado
4210,RT018,200001329,Mercadito La Esperanza 52,no registrado
4210,RT004,200000907,Minisuper El Encanto 93,registrado
4210,RT012,200001931,Super Del Norte 48,registrado
4210,RT005,200000807,Comercial Santa Cruz 86,registrado
4210,RT017,200000879,Comercial Del Norte 90,no registrado
4210,RT007,200000897,Abarrotes Las Flores 36,registrado
4210,RT019,200000718,Minisuper El Encanto 16,registrado
4210,RT015,200001427,Super San José 13,registrado
4210,RT005,200000770,Minisuper El Progreso 48,no registrado
4210,RT007,200001769,Bodega El Mirador 91,registrado
4210,RT003,200001314,Comercial Santa Fe 62,registrado
4210,RT020,200000024,Bodega El Progreso 29,registrado
4210,RT015,200001190,Tienda La Esperanza 78,no registrado
4210,RT021,200001005,Depósito El Sol 85,registrado
4210,RT009,200000852,Frutería Las Flores 53,registrado
4210,RT004,200000860,Mercadito Santa Cruz 57,registrado
4210,RT012,200001936,Frutería Del Valle 94,registrado
4210,RT021,200001119,Mercadito Del Valle 31,registrado
4210,RT017,200001901,Abarrotes El Sol 97,registrado
4210,RT007,200000053,Super Del Valle 28,no registrado
4210,RT015,200000871,Comercial San José 58,no registrado
4210,RT021,200000799,Tienda Del Norte 59,registrado
4210,RT010,200000845,Minisuper La Fortuna 31,registrado
4210,RT019,200000798,Frutería Del Valle 91,registrado
4210,RT018,200001366,Tienda El Progreso 62,registrado
4210,RT017,200001000,Tienda La Esperanza 42,registrado
4210,RT011,200001481,Mercadito El Encanto 77,registrado
4210,RT012,200001481,Mercadito El Encanto 77,registrado
4210,RT016,200000875,Mercadito El Trebol 44,registrado
4210,RT010,200001484,Abarrotes El Progreso 62,registrado
4210,RT022,200000646,Comercial San José 80,registrado
4210,RT006,200001151,Bodega Buena Vista 55,registrado
4210,RT011,200000815,Frutería San José 2,registrado
4210,RT012,200000815,Frutería San José 2,registrado
4210,RT003,200000720,Bodega Del Valle 36,registrado
4210,RT015,200001570,Comercial La Fortuna 70,registrado
4210,RT008,200000888,Super Los Alamos 55,registrado
4210,RT011,200000052,Minisuper El Sol 94,registrado
4210,RT003,200000792,Comercial San José 55,registrado
4210,RT015,200001422,Depósito La Victoria 44,registrado
4210,RT001,200000674,Mini Market El Encanto 45,registrado
4210,RT004,200000811,Tienda Del Norte 16,no registrado
4210,RT008,200000945,Tienda La Unión 50,registrado
4210,RT018,200000945,Tienda La Unión 50,registrado
4210,RT018,200001465,Depósito La Unión 95,registrado
4210,RT006,200000450,Minisuper Del Valle 92,no registrado
4210,RT016,200000450,Minisuper Del Valle 92,no registrado
4210,RT011,200000140,Minisuper El Encanto 40,registrado
4210,RT012,200000140,Minisuper El Encanto 40,registrado
4210,RT007,200001904,Abarrotes Los Alamos 16,registrado
4210,RT012,200001728,Mercadito El Encanto 81,no registrado
4210,RT011,200000130,Super Del Valle 85,registrado
4210,RT004,200000470,Minisuper Santa Fe 87,registrado
4210,RT015,200000081,Abarrotes El Progreso 24,registrado
4210,RT007,200001682,Minisuper El Mirador 49,registrado
4210,RT005,200001325,Bodega Santa Cruz 13,registrado
4210,RT016,200000666,Comercial Buena Vista 61,registrado
4210,RT003,200000312,Minisuper El Roble 11,no registrado
4210,RT012,200001981,Bodega El Roble 22,no registrado
4210,RT015,200001507,Frutería Las Flores 72,no registrado
4210,RT015,200001233,Comercial La Esperanza 11,registrado
4210,RT018,200001227,Bodega Las Flores 83,registrado
