ruta_anon,cliente_anon_id,nombre_anon,categoría,%_venta_digital
ROUTE_0020,CUST_1470,Store_1470,non digital,0 %
ROUTE_0020,CUST_1456,Store_1456,non digital,0 %
ROUTE_0020,CUST_1929,Store_1929,non digital,0 %
ROUTE_0020,CUST_1475,Store_1475,non digital,0 %
ROUTE_0020,CUST_2023,Store_2023,non digital,0 %
ROUTE_0020,CUST_1471,Store_1471,non digital,0 %
ROUTE_0020,CUST_1163,Store_1163,non digital,0 %
ROUTE_0020,CUST_1266,Store_1266,non digital,0 %
ROUTE_0020,CUST_2051,Store_2051,non digital,0 %
ROUTE_0020,CUST_2024,Store_2024,non digital,0 %
ROUTE_0020,CUST_2054,,non digital,0 %
ROUTE_0005,CUST_1292,Store_1292,non digital,0 %
ROUTE_0005,CUST_0415,Store_0415,non digital,0 %
ROUTE_0005,CUST_1823,Store_1823,non digital,0 %
ROUTE_0005,CUST_1446,Store_1446,non digital,0 %
ROUTE_0005,CUST_0806,Store_0806,non digital,0 %
ROUTE_0005,CUST_1584,Store_1584,non digital,0 %
ROUTE_0005,CUST_1016,Store_1016,non digital,0 %
ROUTE_0005,CUST_1710,Store_1710,non digital,0 %
ROUTE_0005,CUST_0802,Store_0802,non digital,0 %
ROUTE_0005,CUST_1043,Store_1043,non digital,0 %
ROUTE_0005,CUST_0728,Store_0728,non digital,0 %
ROUTE_0005,CUST_0917,Store_0917,non digital,0 %
ROUTE_0005,CUST_0733,Store_0733,non digital,0 %
ROUTE_0005,CUST_0200,Store_0200,non digital,0 %
ROUTE_0005,CUST_0890,Store_0890,non digital,0 %
ROUTE_0005,CUST_1623,Store_1623,non digital,0 %
ROUTE_0005,CUST_0501,Store_0501,non digital,0 %
ROUTE_0005,CUST_1551,Store_1551,non digital,0 %
ROUTE_0005,CUST_1819,Store_1819,non digital,0 %
ROUTE_0005,CUST_1046,Store_1046,non digital,0 %
ROUTE_0005,CUST_0379,Store_0379,non digital,0 %
ROUTE_0005,CUST_1227,Store_1227,non digital,0 %
ROUTE_0005,CUST_0436,Store_0436,non digital,0 %
ROUTE_0005,CUST_1257,Store_1257,non digital,0 %
ROUTE_0005,CUST_0113,Store_0113,non digital,0 %
ROUTE_0005,CUST_1720,Store_1720,non digital,0 %
ROUTE_0005,CUST_1638,Store_1638,non digital,0 %
ROUTE_0005,CUST_0348,Store_0348,non digital,0 %
ROUTE_0005,CUST_0088,Store_0088,non digital,0 %
ROUTE_0005,CUST_0545,Store_0545,non digital,0 %
ROUTE_0005,CUST_1833,Store_1833,non digital,0 %
ROUTE_0005,CUST_0097,Store_0097,non digital,0 %
ROUTE_0005,CUST_0111,Store_0111,non digital,0 %
ROUTE_0005,CUST_1363,Store_1363,non digital,0 %
ROUTE_0005,CUST_1530,Store_1530,non digital,0 %
ROUTE_0005,CUST_1370,Store_1370,non digital,0 %
ROUTE_0005,CUST_1515,Store_1515,non digital,0 %
ROUTE_0005,CUST_0812,Store_0812,non digital,0 %
ROUTE_0005,CUST_0595,Store_0595,non digital,0 %
ROUTE_0005,CUST_1195,Store_1195,non digital,0 %
ROUTE_0005,CUST_1223,Store_1223,non digital,0 %
ROUTE_0005,CUST_1792,Store_1792,non digital,0 %
ROUTE_0005,CUST_0378,Store_0378,non digital,0 %
ROUTE_0005,CUST_1186,Store_1186,non digital,0 %
ROUTE_0005,CUST_1199,Store_1199,non digital,0 %
ROUTE_0005,CUST_0373,Store_0373,non digital,0 %
ROUTE_0005,CUST_1960,Store_1960,non digital,0 %
ROUTE_0005,CUST_1074,Store_1074,non digital,0 %
ROUTE_0005,CUST_0457,Store_0457,non digital,0 %
ROUTE_0005,CUST_2044,Store_2044,non digital,0 %
ROUTE_0005,CUST_1042,Store_1042,non digital,0 %
ROUTE_0005,CUST_1311,Store_1311,non digital,0 %
ROUTE_0005,CUST_0214,Store_0214,non digital,0 %
ROUTE_0005,CUST_0778,Store_0778,non digital,0 %
ROUTE_0005,CUST_0711,Store_0711,non digital,0 %
ROUTE_0005,CUST_0983,Store_0983,non digital,0 %
ROUTE_0005,CUST_1034,Store_1034,non digital,0 %
ROUTE_0005,CUST_0647,Store_0647,non digital,0 %
ROUTE_0005,CUST_0258,Store_0258,non digital,0 %
ROUTE_0005,CUST_1032,Store_1032,non digital,0 %
ROUTE_0005,CUST_0756,Store_0756,non digital,0 %
ROUTE_0005,CUST_1012,Store_1012,non digital,0 %
ROUTE_0005,CUST_0592,Store_0592,non digital,0 %
ROUTE_0005,CUST_0005,Store_0005,non digital,0 %
ROUTE_0005,CUST_0842,Store_0842,non digital,0 %
ROUTE_0005,CUST_1982,Store_1982,non digital,0 %
ROUTE_0005,CUST_1317,Store_1317,non digital,0 %
ROUTE_0005,CUST_0358,Store_0358,non digital,0 %
ROUTE_0005,CUST_0845,Store_0845,non digital,0 %
ROUTE_0005,CUST_0480,Store_0480,non digital,0 %
ROUTE_0005,CUST_1335,Store_1335,non digital,0 %
