ruta_sap,cliente_id,nombre_cliente,status_registro,categoría,%_venta_digital
RT001,200000018,Abarrotes El Progreso 72,registrado,non digital,0 %
RT001,200000324,Minisuper La Esperanza 85,registrado,non digital,0 %
RT001,200000612,Depósito La Fortuna 88,registrado,non digital,0 %
RT001,200000616,Mercadito Santa Cruz 42,registrado,non digital,0 %
RT001,200001691,Bodega La Perla 43,registrado,non digital,0 %
RT002,200000106,Super Del Norte 46,registrado,non digital,0 %
RT002,200000113,Depósito El Roble 51,registrado,non digital,0 %
RT002,200000119,Bodega Del Valle 58,registrado,non digital,0 %
RT002,200000145,Abarrotes La Esperanza 6,registrado,non digital,0 %
RT002,200000162,Abarrotes Los Alamos 74,registrado,non digital,0 %
RT002,200000225,Tienda Santa Fe 63,registrado,non digital,0 %
RT002,200000265,Mercadito San José 6,registrado,non digital,0 %
RT002,200000292,Abarrotes Santa Fe 7,registrado,non digital,0 %
RT002,200000297,Bodega La Esperanza 55,registrado,non digital,0 %
RT002,200000299,Tienda El Trebol 1,registrado,non digital,0 %
RT002,200000348,Comercial Los Pinos 41,registrado,non digital,0 %
RT002,200000374,Bodega San José 20,registrado,non digital,0 %
RT002,200000402,Comercial Del Norte 80,registrado,non digital,0 %
RT002,200000433,Super Las Flores 40,registrado,non digital,0 %
RT002,200000474,Bodega La Perla 87,registrado,non digital,0 %
RT002,200000528,Depósito San José 88,registrado,non digital,0 %
RT002,200000532,Mini Market Del Valle 49,registrado,non digital,0 %
RT002,200000648,Frutería El Sol 94,registrado,non digital,0 %
RT002,200000744,Mercadito El Sol 20,registrado,non digital,0 %
RT002,200000776,Tienda La Esperanza 13,registrado,non digital,0 %
RT002,200000804,Tienda El Encanto 60,registrado,non digital,0 %
RT002,200000813,Abarrotes El Progreso 1,registrado,non digital,0 %
RT002,200000853,Bodega San José 65,registrado,non digital,0 %
RT002,200000882,Frutería El Sol 64,registrado,non digital,0 %
RT002,200000894,Bodega El Trebol 28,registrado,non digital,0 %
RT002,200000991,Super El Sol 47,registrado,non digital,0 %
RT002,200000999,Frutería La Perla 30,registrado,non digital,0 %
RT002,200001031,Minisuper El Mirador 97,registrado,non digital,0 %
RT002,200001078,Abarrotes San José 23,registrado,non digital,0 %
RT002,200001088,Depósito Santa Cruz 39,registrado,non digital,0 %
RT002,200001125,Mini Market La Esperanza 25,registrado,non digital,0 %
RT002,200001295,Abarrotes La Unión 37,registrado,non digital,0 %
RT002,200001445,Mini Market Del Norte 12,registrado,non digital,0 %
RT002,200001468,Bodega La Unión 67,registrado,non digital,0 %
RT002,200001518,Comercial Las Flores 82,registrado,non digital,0 %
RT002,200001554,Minisuper Los Alamos 92,registrado,non digital,0 %
RT002,200001566,Depósito Los Pinos 88,registrado,non digital,0 %
RT002,200001571,Comercial Santa Cruz 16,registrado,non digital,0 %
RT002,200001619,Frutería Los Pinos 41,registrado,non digital,0 %
RT002,200001649,Abarrotes Del Valle 45,registrado,non digital,0 %
RT002,200001683,Super El Sol 21,registrado,non digital,0 %
RT002,200001745,Bodega Santa Cruz 50,registrado,non digital,0 %
RT002,200001746,Abarrotes La Unión 15,registrado,non digital,0 %
RT002,200001748,Super La Victoria 71,registrado,non digital,0 %
RT002,200001761,Mini Market La Perla 71,registrado,non digital,0 %
RT002,200001985,Comercial Santa Cruz 49,registrado,non digital,0 %
RT002,200001989,Mini Market La Perla 99,registrado,non digital,0 %
RT002,200001997,Mercadito Los Alamos 4,registrado,non digital,0 %
RT003,200000048,Depósito El Progreso 23,registrado,non digital,0 %
RT003,200000055,Frutería Buena Vista 96,registrado,non digital,0 %
RT003,200000093,Depósito Santa Cruz 53,registrado,non digital,0 %
RT003,200000199,Comercial San José 46,registrado,non digital,0 %
RT003,200000259,Minisuper Los Pinos 62,registrado,non digital,0 %
RT003,200000308,Mercadito Las Flores 10,registrado,non digital,0 %
RT003,200000310,Bodega La Victoria 69,registrado,non digital,0 %
RT003,200000323,Depósito La Unión 60,registrado,non digital,0 %
RT003,200000346,Minisuper El Progreso 85,registrado,non digital,0 %
RT003,200000466,Mini Market El Mirador 88,registrado,non digital,0 %
RT003,200000546,Mercadito Del Valle 66,registrado,non digital,0 %
RT003,200000573,Comercial Santa Cruz 53,registrado,non digital,0 %
RT003,200000715,Mercadito El Sol 74,registrado,non digital,0 %
RT003,200000716,Minisuper La Esperanza 17,registrado,non digital,0 %
RT003,200000720,Bodega Del Valle 36,registrado,non digital,0 %
RT003,200000728,Super San José 36,registrado,non digital,0 %
RT003,200000742,Tienda El Progreso 61,registrado,non digital,0 %
RT003,200000743,Tienda El Progreso 91,registrado,non digital,0 %
RT003,200000792,Comercial San José 55,registrado,non digital,0 %
RT003,200000877,Super El Mirador 59,registrado,non digital,0 %
RT003,200000904,Depósito Las Flores 89,registrado,non digital,0 %
RT003,200001050,Minisuper El Mirador 71,registrado,non digital,0 %
RT003,200001052,Tienda Los Pinos 48,registrado,non digital,0 %
RT003,200001057,Frutería Del Valle 31,registrado,non digital,0 %
RT003,200001286,Mini Market San José 20,registrado,non digital,0 %
RT003,200001289,Minisuper Del Valle 31,registrado,non digital,0 %
RT003,200001314,Comercial Santa Fe 62,registrado,non digital,0 %
RT003,200001342,Mercadito El Roble 60,registrado,non digital,0 %
RT003,200001498,Bodega Santa Fe 94,registrado,non digital,0 %
RT003,200001537,Mercadito La Victoria 91,registrado,non digital,0 %
RT003,200001715,Depósito Santa Fe 81,registrado,non digital,0 %
RT003,200001725,Abarrotes Los Pinos 3,registrado,non digital,0 %
RT003,200001734,Mercadito El Mirador 42,registrado,non digital,0 %
RT003,200001747,Frutería El Trebol 34,registrado,non digital,0 %
RT003,200001850,Minisuper Los Alamos 81,registrado,non digital,0 %
RT003,200001875,Depósito La Perla 84,registrado,non digital,0 %
RT003,200001926,Super Las Flores 96,registrado,non digital,0 %
RT003,200001945,Abarrotes La Unión 20,registrado,non digital,0 %
RT003,200001960,Bodega El Mirador 50,registrado,non digital,0 %
RT004,200000032,Super El Trebol 95,registrado,non digital,0 %
RT004,200000108,Abarrotes Santa Fe 4,registrado,non digital,0 %
RT004,200000120,Bodega El Roble 97,registrado,non digital,0 %
RT004,200000128,Minisuper Los Pinos 91,registrado,non digital,0 %
RT004,200000131,Abarrotes Los Pinos 44,registrado,non digital,0 %
RT004,200000143,Abarrotes Las Flores 44,registrado,non digital,0 %
RT004,200000144,Mini Market El Progreso 5,registrado,non digital,0 %
RT004,200000146,Mercadito La Fortuna 48,registrado,non digital,0 %
RT004,200000195,Comercial Buena Vista 86,registrado,non digital,0 %
RT004,200000202,Bodega El Encanto 65,registrado,non digital,0 %
RT004,200000224,Comercial Santa Fe 47,registrado,non digital,0 %
RT004,200000247,Comercial La Unión 18,registrado,non digital,0 %
RT004,200000251,Mini Market El Trebol 80,registrado,non digital,0 %
RT004,200000368,Comercial Los Pinos 64,registrado,non digital,0 %
RT004,200000384,Minisuper San José 42,registrado,non digital,0 %
RT004,200000413,Minisuper Los Pinos 75,registrado,non digital,0 %
RT004,200000421,Minisuper La Fortuna 37,registrado,non digital,0 %
RT004,200000429,Mini Market La Unión 39,registrado,non digital,0 %
RT004,200000445,Super La Esperanza 3,registrado,non digital,0 %
RT004,200000446,Frutería Del Norte 57,registrado,non digital,0 %
RT004,200000483,Comercial La Esperanza 3,registrado,non digital,0 %
RT004,200000489,Mercadito La Perla 32,registrado,non digital,0 %
RT004,200000508,Abarrotes El Sol 40,registrado,non digital,0 %
RT004,200000510,Bodega El Sol 88,registrado,non digital,0 %
RT004,200000687,Abarrotes La Perla 3,registrado,non digital,0 %
RT004,200000740,Tienda Los Pinos 45,registrado,non digital,0 %
RT004,200000779,Tienda Santa Fe 76,registrado,non digital,0 %
RT004,200000860,Mercadito Santa Cruz 57,registrado,non digital,0 %
RT004,200000863,Minisuper Los Pinos 95,registrado,non digital,0 %
RT004,200000907,Minisuper El Encanto 93,registrado,non digital,0 %
RT004,200000922,Mercadito Del Norte 85,registrado,non digital,0 %
RT004,200000946,Frutería La Perla 12,registrado,non digital,0 %
RT004,200001087,Bodega Buena Vista 66,registrado,non digital,0 %
RT004,200001135,Super La Unión 83,registrado,non digital,0 %
RT004,200001143,Super La Perla 6,registrado,non digital,0 %
RT004,200001197,Mini Market La Victoria 94,registrado,non digital,0 %
RT004,200001266,Tienda El Encanto 55,registrado,non digital,0 %
RT004,200001311,Minisuper La Victoria 85,registrado,non digital,0 %
RT004,200001321,Minisuper El Encanto 64,registrado,non digital,0 %
RT004,200001369,Frutería Las Flores 32,registrado,non digital,0 %
