ruta_sap,total_clientes,clientes_no_registrados,clientes_reg_no_digital,clientes_hibridos,clientes_fully,pct_registrados_no_digitales,pct_no_registrados,pct_hibridos,pct_fully,score_prioridad
RT019,102,19,66,13,4,64.71,18.63,12.75,3.92,47.5
RT014,103,23,51,27,2,49.51,22.33,26.21,1.94,45.34
RT008,97,29,47,17,4,48.45,29.9,17.53,4.12,44.74
RT009,95,39,37,18,1,38.95,41.05,18.95,1.05,44.47
RT013,27,12,11,3,1,40.74,44.44,11.11,3.7,44.07
RT004,114,33,49,27,5,42.98,28.95,23.68,4.39,43.51
RT011,121,55,50,9,7,41.32,45.45,7.44,5.79,43.51
RT002,102,26,48,21,7,47.06,25.49,20.59,6.86,43.28
RT003,97,29,39,25,4,40.21,29.9,25.77,4.12,43.09
RT001,16,5,5,6,0,31.25,31.25,37.5,0.0,42.81
RT022,29,11,10,7,1,34.48,37.93,24.14,3.45,42.59
RT005,37,6,14,15,2,37.84,16.22,40.54,5.41,41.49
RT007,54,18,21,10,5,38.89,33.33,18.52,9.26,41.2
RT015,106,46,33,13,14,31.13,43.4,12.26,13.21,38.77
RT021,97,29,33,19,16,34.02,29.9,19.59,16.49,37.53
RT006,99,17,38,21,23,38.38,17.17,21.21,23.23,35.4
RT012,103,7,37,38,21,35.92,6.8,36.89,20.39,35.39
RT010,50,9,10,23,8,20.0,18.0,46.0,16.0,34.3
RT018,112,23,26,38,25,23.21,20.54,33.93,22.32,32.86
RT016,79,2,29,26,22,36.71,2.53,32.91,27.85,32.72
RT017,123,17,30,16,60,24.39,13.82,13.01,48.78,23.5
RT020,25,2,3,9,11,12.0,8.0,36.0,44.0,22.4
